unique_registros_ID,genus,species,subspecies,if_hybrid,sex,locality_code,lat_dec,lon_dec,revised_accuracy,elev_min_etiq,elev_max_etiq,elev_unidad,day,month,year,Date_if_string,colector,coleccion,image_link
821,Heliconius,sapho,leuce,,desconocido,Bluefields NIC ZS,12.01666667,-83.76666667,2,,,m,,,,,,KB 1979,http://butterfliesofamerica.com/images/Nymphalidae/Heliconiini/Heliconius_sapho_leuce/Heliconius_sapho_leuce_Paleque_CHIS_MX_24-V-90_206.jpg
841,Heliconius,sapho,leuce,,desconocido,Brus Laguna de HON GD,15.75,-84.48333,2,,,m,,,,,,KB 1979,http://butterfliesofamerica.com/images/Nymphalidae/Heliconiini/Heliconius_sapho_leuce/Heliconius_sapho_leuce_Paleque_CHIS_MX_24-V-90_206.jpg
873,Heliconius,telesiphe,cretacea,,desconocido,Chachapoyas PER AM,-6.233333333,-77.88333333,2,,,m,,,,,,KB 1979,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20cretaceus%20big.jpg
882,Heliconius,sapho,leuce,,desconocido,Chixoy Valle GUA AV,15.38333333,-90.65,,,,m,,,,,,KB 1979,http://butterfliesofamerica.com/images/Nymphalidae/Heliconiini/Heliconius_sapho_leuce/Heliconius_sapho_leuce_Paleque_CHIS_MX_24-V-90_206.jpg
925,Heliconius,sapho,sapho,,desconocido,no data,,,999,,,m,,,,,,KB 1979,http://butterfliesofamerica.com/images/Nymphalidae/Heliconiini/Heliconius_s_sapho/G_and_S_illustration_plate_18_f._5_6.jpg
959,Heliconius,sapho,leuce,,desconocido,El Bluff NIC ZS,11.98333333,-83.66666667,,,,m,,,,,,KB 1979,http://butterfliesofamerica.com/images/Nymphalidae/Heliconiini/Heliconius_sapho_leuce/Heliconius_sapho_leuce_Paleque_CHIS_MX_24-V-90_206.jpg
986,Heliconius,sapho,sapho,,desconocido,El Valle PAN,8.6,-80.13333333,,,,m,,,,,,KB 1979,http://butterfliesofamerica.com/images/Nymphalidae/Heliconiini/Heliconius_s_sapho/G_and_S_illustration_plate_18_f._5_6.jpg
1161,Heliconius,sapho,leuce,,desconocido,Oaxaca MEX OA,17.05,-96.71666667,2,,,m,,,,,,KB 1979,http://butterfliesofamerica.com/images/Nymphalidae/Heliconiini/Heliconius_sapho_leuce/Heliconius_sapho_leuce_Paleque_CHIS_MX_24-V-90_206.jpg
1168,Heliconius,sapho,leuce,,desconocido,OCOSINGO MEX CH,17.06666667,-92.25,2,,,m,,,,,,KB 1979,http://butterfliesofamerica.com/images/Nymphalidae/Heliconiini/Heliconius_sapho_leuce/Heliconius_sapho_leuce_Paleque_CHIS_MX_24-V-90_206.jpg
1195,Heliconius,telesiphe,n_ssp,,desconocido,Plan de Milagro ECD MS,-3.02,-78.47055556,,,,m,,,,,,KB 1979,0
1273,Heliconius,sapho,leuce,,desconocido,San Quintin MEX CP,16.4,-91.33333333,,,,m,,,,,,KB 1979,http://butterfliesofamerica.com/images/Nymphalidae/Heliconiini/Heliconius_sapho_leuce/Heliconius_sapho_leuce_Paleque_CHIS_MX_24-V-90_206.jpg
1279,Heliconius,sapho,leuce,,desconocido,San Ramon NIC ZE,14.66666667,-84.68333333,2,,,m,,,,,,KB 1979,http://butterfliesofamerica.com/images/Nymphalidae/Heliconiini/Heliconius_sapho_leuce/Heliconius_sapho_leuce_Paleque_CHIS_MX_24-V-90_206.jpg
1304,Heliconius,sapho,sapho,,desconocido,Santa Fe PAN VE,8.516666667,-81.08333333,2,,,m,,,,,,KB 1979,http://butterfliesofamerica.com/images/Nymphalidae/Heliconiini/Heliconius_s_sapho/G_and_S_illustration_plate_18_f._5_6.jpg
